,"citrus fruit,semi-finished bread,margarine,ready soups"
577,"hamburger meat,UHT-milk,salty snack"
578,"pip fruit,whole milk,curd,rum"
579,canned beer
580,"grapes,root vegetables,frozen vegetables,domestic eggs,white wine"
581,"root vegetables,packaged fruit/vegetables,butter,whipped/sour cream,rolls/buns"
582,"citrus fruit,frozen vegetables,rolls/buns,canned beer,salty snack"
583,"cling film/bags,potted plants"
584,"frankfurter,whole milk,rolls/buns,margarine,baking powder,bottled beer"
585,"whole milk,red/blush wine"
586,"pork,tropical fruit,whole milk,curd,yogurt,hard cheese,frozen meals,frozen dessert,domestic eggs,cereals,baking powder,fruit/vegetable juice,soap"
587,"chicken,pastry"
588,"sausage,dish cleaner,dishes"
589,specialty bar
590,"whipped/sour cream,pastry,specialty bar"
591,"root vegetables,brown bread"
592,"rolls/buns,soda"
593,"other vegetables,bottled beer,red/blush wine"
594,"citrus fruit,tropical fruit,berries,root vegetables,other vegetables,whole milk,butter,bottled water,rubbing alcohol,hygiene articles,napkins"
595,"whole milk,processed cheese,brown bread,pastry,soda"
596,"frankfurter,sausage,tropical fruit,root vegetables,whole milk,yogurt,rolls/buns,pastry,candy"
597,"coffee,long life bakery product"
598,"ham,rolls/buns,white wine"
599,canned beer
600,canned beer
601,canned beer
602,"pip fruit,whole milk,canned fish"
603,"pork,pip fruit,other vegetables,whole milk,curd,white bread,sugar,bottled water,soda"
604,soap
605,"pip fruit,butter,frozen meals,pasta,bottled water"
606,"beef,hamburger meat,citrus fruit,whole milk,mustard,soap"
607,"sausage,meat,other vegetables,whole milk,yogurt,rolls/buns,soda,bottled beer,chocolate,newspapers"
608,frozen chicken
609,soda
610,"tropical fruit,curd,yogurt,rolls/buns,brown bread,bottled water,bottled beer,seasonal products"
611,other vegetables
612,"beef,citrus fruit,curd,rolls/buns,oil,margarine,specialty bar,detergent,newspapers"
613,"meat,pork,beef,citrus fruit,root vegetables,other vegetables,whole milk,pickled vegetables"
614,"meat,hamburger meat,root vegetables,packaged fruit/vegetables,whole milk,butter,newspapers"
615,"bottled water,soda,red/blush wine,long life bakery product,newspapers"
616,rolls/buns
617,"pastry,canned beer"
618,"pork,whole milk,pastry,sauces"
619,"pip fruit,sliced cheese,pastry,white wine,light bulbs,newspapers"
620,"beef,citrus fruit,tropical fruit,yogurt,UHT-milk,frozen vegetables,rolls/buns,bottled water,skin care"
621,"beef,citrus fruit,berries,brown bread,sugar,coffee,kitchen towels"
622,"rolls/buns,spices"
623,"citrus fruit,tropical fruit,herbs,whole milk,butter,curd,whipped/sour cream,frozen vegetables,canned vegetables,misc. beverages"
624,"meat,beef,herbs,whole milk,frozen dessert,rolls/buns,semi-finished bread,flour,oil,coffee,potted plants"
625,"beverages,pastry,bottled water"
626,"beef,citrus fruit,other vegetables,rolls/buns"
627,"ham,whole milk,white bread,margarine,hair spray"
628,"hamburger meat,whole milk,oil,ketchup,soups,Instant food products,canned fish,coffee,bottled beer,hygiene articles,newspapers"
629,"beef,citrus fruit,other vegetables,butter milk,sliced cheese,processed cheese,rolls/buns,margarine,bottled water,fruit/vegetable juice"
630,"beef,citrus fruit,whole milk,domestic eggs,rolls/buns,pastry,roll products,tea,fruit/vegetable juice"
631,"root vegetables,whole milk,detergent"
632,"citrus fruit,tropical fruit,grapes,other vegetables,frozen vegetables,pickled vegetables,fruit/vegetable juice,liquor,rum,liquor (appetizer),candy,cling film/bags"
633,"yogurt,bottled water"
634,"tropical fruit,root vegetables,other vegetables,whipped/sour cream,brown bread,canned fish,long life bakery product"
635,"frankfurter,root vegetables,newspapers"
636,"beef,other vegetables,whole milk,brown bread,pastry,salty snack,abrasive cleaner,shopping bags"
637,shopping bags
638,canned beer
639,"rolls/buns,canned beer"
640,"other vegetables,rolls/buns,meat spreads,bottled water,soda,misc. beverages,waffles,chocolate,candy"
641,"hamburger meat,other vegetables,yogurt,rolls/buns,bottled water"
642,"hamburger meat,citrus fruit,root vegetables,rolls/buns,Instant food products,canned fish,bottled water,soda,fruit/vegetable juice,napkins"
643,"frankfurter,sausage,domestic eggs,soda,chewing gum,shopping bags"
644,bottled beer
645,"tropical fruit,domestic eggs,rolls/buns,pastry"
646,soda
647,"frankfurter,root vegetables,onions,other vegetables,white bread,canned beer"
648,"chicken,hamburger meat,herbs,whipped/sour cream,soups,soda,canned beer,dish cleaner,napkins,cling film/bags"
649,"coffee,soda"
650,whole milk
651,margarine
652,"tropical fruit,other vegetables"
653,"meat,other vegetables"
654,"cream cheese,bottled water,canned beer"
655,newspapers
656,"rolls/buns,pastry,newspapers"
657,"citrus fruit,other vegetables,whole milk,curd,yogurt,potato products,fruit/vegetable juice,long life bakery product"
658,"whole milk,rolls/buns,detergent"
659,"frankfurter,citrus fruit,butter milk,UHT-milk,rolls/buns,female sanitary products,shopping bags"
660,"ham,other vegetables,butter,whipped/sour cream,sugar,soda"
661,"frankfurter,citrus fruit,bottled beer,salty snack"
662,"sausage,onions,curd,yogurt,domestic eggs,coffee"
663,domestic eggs
664,"whole milk,domestic eggs,rolls/buns,soda"
665,"rolls/buns,bottled beer,newspapers"
666,"whole milk,hard cheese,chocolate marshmallow"
667,"sausage,root vegetables,other vegetables,rolls/buns,soda"
668,"curd,butter milk,yogurt,beverages"
669,bottled water
670,beef
671,"frankfurter,hamburger meat,whole milk,rolls/buns,potato products,mustard,coffee,waffles,chocolate marshmallow,soap,newspapers"
672,"chicken,butter,newspapers"
673,"sausage,meat,tropical fruit,pip fruit,pastry,sugar,coffee,candles,potted plants"
674,"pork,whole milk,whipped/sour cream,beverages"
675,"yogurt,pastry,coffee"
676,"whole milk,sliced cheese,margarine,cat food,detergent,dishes,shopping bags"
677,"frankfurter,ham,whole milk,yogurt,rolls/buns,pastry,vinegar,sugar,soda,fruit/vegetable juice,napkins"
678,"beef,whole milk,brown bread,specialty chocolate,newspapers"
679,"pip fruit,other vegetables,butter milk,cream cheese,rolls/buns"
680,"sausage,whole milk,rolls/buns,coffee,chocolate"
681,"pastry,coffee"
682,"chicken,beef,specialty chocolate"
683,"root vegetables,other vegetables,whole milk,sliced cheese,frozen vegetables,frozen fish,frozen dessert,chocolate"
684,"whole milk,frozen meals,rolls/buns"
685,detergent
686,"rolls/buns,canned fish"
687,house keeping products
688,"yogurt,salt,jam,sparkling wine,cleaner"
689,"tropical fruit,curd,sliced cheese,rolls/buns,soda"
690,tropical fruit
691,"curd,UHT-milk,artif. sweetener,dental care"
692,"beef,berries,onions,rolls/buns"
693,"whole milk,brown bread,pasta,margarine,bottled water,napkins,newspapers"
694,"pork,UHT-milk,bottled water,soda,canned beer"
695,"other vegetables,curd,yogurt,curd cheese,margarine,cleaner,hygiene articles"
696,"rolls/buns,soda,fruit/vegetable juice,canned beer,white wine,long life bakery product,shopping bags"
697,"frankfurter,pip fruit,whole milk,rolls/buns,roll products"
698,"yogurt,hygiene articles,newspapers,shopping bags"
699,"whole milk,curd,sliced cheese,cat food,coffee"
700,"bottled water,candy"
701,"frankfurter,beef,butter"
702,"rolls/buns,soda,snack products,shopping bags"
703,"whole milk,pastry,bottled water,hygiene articles"
704,rolls/buns
705,"chicken,onions,other vegetables,whole milk,brown bread,white wine,red/blush wine"
706,"tropical fruit,onions,whole milk,butter,dishes"
707,"sausage,turkey,other vegetables,yogurt,brown bread,oil,hygiene articles,shopping bags"
708,"sausage,other vegetables,whole milk,curd,hard cheese,soda,candy,newspapers"
709,"frankfurter,citrus fruit,pastry,margarine,ready soups,instant coffee,shopping bags"
710,"UHT-milk,frozen dessert,fruit/vegetable juice,decalcifier,newspapers"
711,"rolls/buns,newspapers"
712,canned beer
713,"yogurt,specialty bar"
714,"whipped/sour cream,specialty bar"
715,"rolls/buns,canned beer"
716,rolls/buns
717,"beverages,rolls/buns"
718,rolls/buns
719,"rolls/buns,shopping bags"
720,bottled beer
721,"citrus fruit,curd,yogurt,sliced cheese,rolls/buns,oil,bottled water"
722,"bottled water,soda"
723,pastry
724,"domestic eggs,rolls/buns,pastry,coffee,candles"
725,"beef,pip fruit,root vegetables,rolls/buns,margarine"
726,"spread cheese,rolls/buns,bottled water,newspapers"
727,"tropical fruit,spread cheese,rolls/buns,soda"
728,"packaged fruit/vegetables,canned beer,candles"
729,"whole milk,yogurt,bottled beer,white wine,salty snack,napkins"
730,"meat,beef,other vegetables,whole milk,butter,domestic eggs,rolls/buns"
731,"onions,whole milk,bottled beer,liquor (appetizer),detergent,dishes"
732,"frankfurter,grapes,other vegetables,butter milk,UHT-milk,brown bread,margarine,organic products,bottled water,soda"
733,"beef,rolls/buns,bottled beer"
734,beef
735,"sausage,bottled beer,liquor (appetizer)"
736,"chicken,onions,herbs,hygiene articles"
737,canned beer
738,"sausage,root vegetables,other vegetables,whole milk,bottled beer,seasonal products"
739,"tropical fruit,whole milk,curd,yogurt,whipped/sour cream"
740,"frankfurter,rolls/buns,soda,abrasive cleaner,newspapers,flower (seeds)"
741,"sausage,tropical fruit,semi-finished bread"
742,"beef,tropical fruit,root vegetables,yogurt"
743,"tropical fruit,pastry,flour,rum"
744,yogurt
745,"frankfurter,rolls/buns,mustard"
746,bottled beer
747,"grapes,soda"
748,"beverages,rolls/buns"
749,"curd,bottled beer,potted plants"
750,"ice cream,sugar,flower (seeds)"
751,"sausage,rolls/buns,soda,canned beer,shopping bags"
752,other vegetables
753,"dessert,beverages,bottled water"
754,decalcifier
755,canned beer
756,coffee
757,"berries,other vegetables,whole milk,whipped/sour cream"
758,"pork,tropical fruit,rolls/buns,semi-finished bread,bottled beer,newspapers"
759,"frankfurter,chicken,pork,citrus fruit,other vegetables,whole milk,butter milk,whipped/sour cream,cream cheese,frozen dessert,domestic eggs,rolls/buns,sugar,baking powder"
760,"pork,beef,whole milk,domestic eggs,bottled water,bottled beer,hygiene articles"
761,"frankfurter,pork,citrus fruit,root vegetables,onions,other vegetables,packaged fruit/vegetables,cat food,bottled water"
762,"frozen dessert,brandy"
763,"chicken,other vegetables,packaged fruit/vegetables,condensed milk,frozen vegetables,fruit/vegetable juice"
764,"vinegar,oil"
765,"rolls/buns,soda,specialty bar"
766,whole milk
767,"pork,root vegetables,whole milk,whipped/sour cream"
768,"rolls/buns,newspapers"
769,"grapes,other vegetables,zwieback,Instant food products,dishes"
770,"frankfurter,citrus fruit,whipped/sour cream,cream cheese,rolls/buns,baking powder,seasonal products,napkins"
771,"finished products,root vegetables,packaged fruit/vegetables,yogurt,specialty cheese,frozen vegetables,ice cream,soda,bottled beer"
772,"onions,other vegetables,flour"
773,"tropical fruit,whole milk,rolls/buns"
774,"other vegetables,cream cheese,tea,chocolate,chocolate marshmallow"
775,"ham,turkey,beef,other vegetables,whole milk,potted plants"
776,"other vegetables,whole milk,margarine,bottled beer"
777,curd
778,"sausage,beef,other vegetables"
779,"canned beer,liquor (appetizer),chewing gum"
780,"ham,chicken,citrus fruit,berries,onions,whole milk,curd,yogurt,frozen vegetables,rolls/buns,margarine,soda,liquor (appetizer),cake bar,candy,seasonal products,skin care"
781,"packaged fruit/vegetables,whole milk,dessert,yogurt,UHT-milk,margarine,bottled water,long life bakery product"
782,"meat,rolls/buns,soda,specialty bar"
783,"whole milk,dessert"
784,canned beer
785,"chicken,UHT-milk,rolls/buns,coffee,long life bakery product,house keeping products"
786,"rolls/buns,red/blush wine,newspapers"
787,"pet care,bottled water"
788,"root vegetables,other vegetables,soda,shopping bags"
789,pastry
790,"frankfurter,hamburger meat,whole milk,domestic eggs,rolls/buns,brown bread,margarine,bottled water,flower (seeds)"
791,"chicken,grapes,whole milk,whipped/sour cream,mayonnaise"
792,"frozen dessert,semi-finished bread"
793,"citrus fruit,tropical fruit,grapes,yogurt,rolls/buns,margarine,canned fruit,bottled water,soda,misc. beverages,candy,female sanitary products,shopping bags"
794,"sausage,pork,beef,berries,root vegetables,whole milk,butter,rolls/buns,cat food,bottled water,newspapers"
795,"root vegetables,onions,other vegetables,packaged fruit/vegetables,whole milk,whipped/sour cream,frozen vegetables,rolls/buns,pasta,soups,baking powder,soda,detergent"
796,"root vegetables,whole milk,yogurt,rolls/buns"
797,bottled beer
798,"frankfurter,canned beer"
799,"root vegetables,whole milk,butter,coffee"
800,"berries,other vegetables,whipped/sour cream,UHT-milk,bottled water,soda,hygiene articles,newspapers"
801,hamburger meat
802,"tropical fruit,whole milk,rolls/buns,semi-finished bread,margarine,fruit/vegetable juice,long life bakery product,newspapers"
803,"frankfurter,pork,beverages,frozen meals,waffles"
804,"frankfurter,sausage,frozen fish,margarine,specialty bar"
805,"soda,newspapers"
806,ice cream
807,"beef,whole milk,frozen vegetables,brown bread,pastry,coffee"
808,"whole milk,pastry,bottled water,newspapers,photo/film"
809,"pork,fish,whole milk,butter,curd,yogurt,whipped/sour cream,flour,sugar"
810,"whole milk,chewing gum"
811,bottled beer
812,"pork,grapes,UHT-milk,brown bread,margarine"
813,"root vegetables,potted plants"
814,canned beer
815,"citrus fruit,root vegetables,whole milk,butter,whipped/sour cream,oil,mustard,bottled water,bottled beer"
816,"pip fruit,herbs,other vegetables,whole milk,coffee,female sanitary products,hygiene articles,shopping bags"
817,"root vegetables,dessert,yogurt,cream cheese,rice"
818,"tropical fruit,curd,rolls/buns,organic products,newspapers"
819,"beef,root vegetables,other vegetables,whole milk,butter,soft cheese,hard cheese,domestic eggs,pasta,coffee,candles"
820,"chicken,pork,whole milk,butter,white bread"
821,"citrus fruit,grapes,whole milk,rolls/buns,pastry,oil,margarine,candles,newspapers"
822,"meat,beef,tropical fruit,pip fruit,other vegetables,whipped/sour cream,soft cheese,frozen meals,margarine,coffee,fruit/vegetable juice,potted plants"
823,"cream cheese,spread cheese,rolls/buns"
824,"citrus fruit,herbs,whole milk,bottled water,bottled beer,potted plants"
825,specialty bar
826,"meat,other vegetables,whole milk,beverages,rolls/buns,margarine,chocolate,napkins,newspapers"
827,"citrus fruit,tropical fruit,pip fruit"
828,"frankfurter,beef,tropical fruit,root vegetables,packaged fruit/vegetables,whole milk,frozen vegetables"
829,"citrus fruit,whole milk"
830,"turkey,root vegetables,other vegetables,curd,bottled beer,specialty chocolate"
831,"citrus fruit,onions,whole milk,curd,yogurt,rolls/buns,pasta,mustard,dog food,canned beer"
832,"sausage,domestic eggs"
833,newspapers
834,"whole milk,yogurt"
835,yogurt
836,yogurt
837,bottled water
838,"berries,whole milk,whipped/sour cream,domestic eggs"
839,"packaged fruit/vegetables,whole milk,rolls/buns,pastry"
840,"frankfurter,soda"
841,"nuts/prunes,whole milk,semi-finished bread,jam,soda,potted plants,shopping bags"
842,"citrus fruit,other vegetables,packaged fruit/vegetables,whole milk,butter,whipped/sour cream,flour,sugar,coffee,soda,sparkling wine,dishes"
843,"beef,citrus fruit,root vegetables,onions,curd,hard cheese,rolls/buns,fruit/vegetable juice"
844,"whole milk,yogurt,frozen vegetables,coffee,canned beer,napkins"
845,"other vegetables,whipped/sour cream"
846,"beef,other vegetables"
847,"fish,berries,other vegetables,whole milk,dessert,yogurt,spread cheese,coffee,white wine,red/blush wine"
848,"other vegetables,whole milk,curd,frozen vegetables,domestic eggs,sugar,instant coffee,newspapers"
849,"tropical fruit,berries,root vegetables,whole milk,butter,yogurt,whipped/sour cream,sliced cheese,hard cheese,specialty chocolate,napkins"
850,coffee
851,"sausage,pork,other vegetables,frozen fish,rolls/buns,semi-finished bread,artif. sweetener,ready soups,bottled water,hygiene articles,newspapers"
852,"meat,root vegetables,whipped/sour cream,beverages,cream cheese,waffles,dishes"
853,"chicken,tropical fruit,pip fruit,root vegetables,other vegetables,packaged fruit/vegetables,butter,rolls/buns,margarine,sugar,rum,long life bakery product,abrasive cleaner"
854,"berries,whole milk,whipped/sour cream,margarine,organic products,fruit/vegetable juice,shopping bags"
855,"frozen meals,misc. beverages"
